FIPS,POP2010,OHU2010,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,County,State,Percentage
1001,25405.0,9226.0,9226.0,6735.0,2871.0,19933.0,4757.0,102.0,10.0,122.0,481.0,390.0,460.0,13.34,59340.6,0.6,0.6,0.0,0.0,0.0,0.6,0.0,Autauga County,Alabama,0.13
1003,99521.0,38925.0,34391.0,23339.0,15274.0,86990.0,7355.0,561.0,42.0,787.0,3786.0,4552.0,857.0,14.18235294117647,58807.705882352944,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.0,Baldwin County,Alabama,0.093
1005,20819.0,7135.0,9337.0,4137.0,2936.0,10188.0,9524.0,66.0,9.0,106.0,926.0,1070.0,555.0,25.728571428571428,42197.57142857143,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.0,Barbour County,Alabama,0.162
1007,22915.0,7953.0,10123.0,5201.0,2906.0,17381.0,5047.0,22.0,13.0,64.0,388.0,406.0,299.0,16.025,43362.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bibb County,Alabama,0.137
1009,50272.0,18830.0,19923.0,12552.0,6944.0,46898.0,583.0,92.0,33.0,291.0,2375.0,3685.0,624.0,17.75,52343.375,0.125,0.125,0.0,0.0,0.0,0.125,0.0,Blount County,Alabama,0.124
1011,3812.0,1628.0,2538.0,867.0,651.0,1156.0,2571.0,1.0,0.0,12.0,72.0,52.0,298.0,19.25,42410.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Bullock County,Alabama,0.183
1013,16530.0,6730.0,8209.0,3805.0,2879.0,9541.0,6609.0,155.0,2.0,58.0,165.0,131.0,446.0,25.057142857142857,41677.71428571428,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,Butler County,Alabama,0.154
1015,35783.0,13849.0,12777.0,8584.0,4615.0,32207.0,2455.0,128.0,37.0,164.0,792.0,597.0,540.0,11.770000000000001,38213.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Calhoun County,Alabama,0.145
1017,21153.0,8627.0,10141.0,4631.0,3459.0,11825.0,8852.0,142.0,0.0,52.0,282.0,247.0,761.0,24.94,45265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chambers County,Alabama,0.146
1019,21972.0,8950.0,9836.0,4850.0,3590.0,20402.0,955.0,43.0,1.0,122.0,449.0,287.0,292.0,22.0,44699.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cherokee County,Alabama,0.108
1021,37340.0,14050.0,15675.0,9425.0,4841.0,31489.0,3598.0,85.0,51.0,138.0,1979.0,2962.0,579.0,17.3,53099.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chilton County,Alabama,0.132
1023,13859.0,5866.0,5522.0,3141.0,2519.0,7731.0,6012.0,12.0,0.0,18.0,86.0,73.0,463.0,23.0,48360.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,Choctaw County,Alabama,0.13
1025,16088.0,6434.0,7922.0,3894.0,2599.0,8879.0,6976.0,28.0,2.0,56.0,147.0,142.0,748.0,28.65714285714285,43779.42857142857,0.42857142857142855,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.0,Clarke County,Alabama,0.159
1027,13932.0,5670.0,6763.0,3144.0,2449.0,11380.0,2066.0,24.0,0.0,55.0,407.0,399.0,322.0,19.925,42929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clay County,Alabama,0.121
1029,14972.0,5891.0,6395.0,3551.0,2361.0,14079.0,498.0,23.0,10.0,51.0,311.0,307.0,294.0,18.175,44902.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cleburne County,Alabama,0.11
1031,23670.0,9482.0,10277.0,5352.0,3919.0,19208.0,3260.0,110.0,11.0,475.0,606.0,437.0,508.0,19.43333333333333,48610.555555555555,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,Coffee County,Alabama,0.133
1033,20494.0,8334.0,8398.0,4409.0,3510.0,17608.0,2200.0,42.0,8.0,159.0,477.0,361.0,299.0,19.04,48297.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colbert County,Alabama,0.15
1035,13228.0,5625.0,7651.0,3042.0,2362.0,6788.0,6149.0,17.0,1.0,44.0,229.0,161.0,501.0,29.4,34702.8,0.8,0.8,0.0,0.0,0.0,0.8,0.0,Conecuh County,Alabama,0.16
1037,11539.0,4794.0,5708.0,2370.0,1970.0,7648.0,3582.0,16.0,15.0,40.0,238.0,230.0,288.0,19.900000000000002,44178.666666666664,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,Coosa County,Alabama,0.154
1039,31027.0,12856.0,13290.0,6866.0,5787.0,27059.0,3145.0,119.0,1.0,178.0,525.0,392.0,616.0,16.39,48694.6,0.3,0.3,0.0,0.0,0.0,0.3,0.0,Covington County,Alabama,0.123
