FIPS,POP2010,OHU2010,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,County,State,Percentage
1001,29166.0,10995.0,9466.0,7878.0,3675.0,22922.0,4886.0,372.0,22.0,110.0,854.0,920.0,621.0,14.228571428571428,62327.42857142857,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571,0.0,0.0,Autauga County,Alabama,0.13
1003,82744.0,34255.0,28886.0,18559.0,15294.0,69163.0,9750.0,787.0,47.0,429.0,2568.0,3440.0,1385.0,14.57142857142857,62920.142857142855,0.9285714285714286,1.0,0.9285714285714286,1.0,0.9285714285714286,0.0,0.0,Baldwin County,Alabama,0.093
1005,6638.0,2685.0,3147.0,1878.0,973.0,2992.0,3351.0,41.0,20.0,8.0,226.0,317.0,247.0,20.35,46362.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Barbour County,Alabama,0.162
1009,7050.0,2748.0,2942.0,1554.0,1495.0,6170.0,178.0,25.0,5.0,16.0,656.0,941.0,199.0,19.2,50477.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Blount County,Alabama,0.124
1011,7102.0,2117.0,2741.0,1563.0,818.0,1351.0,5095.0,19.0,43.0,11.0,583.0,725.0,405.0,19.5,51000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Bullock County,Alabama,0.183
1013,4417.0,1761.0,2434.0,1251.0,610.0,1858.0,2486.0,22.0,5.0,2.0,44.0,60.0,255.0,23.950000000000003,45794.5,0.5,1.0,0.5,1.0,0.5,0.0,0.0,Butler County,Alabama,0.154
1015,82789.0,33482.0,37402.0,18542.0,12375.0,56633.0,21927.0,717.0,59.0,376.0,3077.0,3296.0,2022.0,28.099999999999994,43251.80952380953,0.7142857142857143,1.0,0.7142857142857143,1.0,0.7142857142857143,0.0,0.0,Calhoun County,Alabama,0.145
1017,13062.0,5306.0,6433.0,3072.0,2247.0,8287.0,4405.0,26.0,10.0,17.0,317.0,289.0,477.0,23.575000000000003,37221.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Chambers County,Alabama,0.146
1019,4017.0,1676.0,1825.0,716.0,1061.0,3679.0,253.0,11.0,0.0,13.0,61.0,33.0,54.0,16.3,49688.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Cherokee County,Alabama,0.108
1021,6303.0,2508.0,2635.0,1535.0,1080.0,5224.0,632.0,45.0,4.0,17.0,381.0,458.0,258.0,21.2,47315.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Chilton County,Alabama,0.132
1025,9745.0,3903.0,3799.0,2495.0,1575.0,5191.0,4360.0,49.0,2.0,47.0,96.0,129.0,426.0,21.0,48924.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Clarke County,Alabama,0.159
1031,26278.0,10367.0,9388.0,6732.0,3291.0,18122.0,5099.0,534.0,89.0,170.0,2264.0,2743.0,498.0,20.4,58638.6,0.8,0.8,0.8,0.8,0.8,0.0,0.0,Coffee County,Alabama,0.133
1033,33934.0,14439.0,13153.0,7625.0,5953.0,26181.0,6568.0,187.0,12.0,108.0,878.0,732.0,1084.0,18.655555555555555,49909.666666666664,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,Colbert County,Alabama,0.15
1039,6738.0,2675.0,3624.0,1657.0,1152.0,4963.0,1571.0,36.0,0.0,36.0,132.0,91.0,214.0,34.525,34898.5,0.75,1.0,0.75,1.0,0.75,0.0,0.0,Covington County,Alabama,0.123
1043,17043.0,7132.0,7831.0,3815.0,3245.0,15852.0,141.0,165.0,5.0,65.0,815.0,1463.0,537.0,23.666666666666668,48538.333333333336,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,Cullman County,Alabama,0.144
1045,17207.0,7110.0,6379.0,4162.0,2471.0,11418.0,4570.0,202.0,9.0,116.0,892.0,1089.0,746.0,22.1,52883.0,0.6,1.0,0.6,1.0,0.6,0.0,0.0,Dale County,Alabama,0.143
